ㄷㅚㅂㄴㅣㄷㅏ	D OE M N I D A
ㅁㅓㄱㅇㅓㅇㅛ	M EO G EO iO
ㄷㅏㅇㅡㅁ	D A EU M
ㅁㅗㅅ	M O t
ㄷㅏㄻㅇㅏㅆㅇㅓㅇㅛ	D A L M A SS EO iO
ㄷㅏㄹㅋㅗㅁㅎㅏㄴ	D A L Kh O M H A N
ㅁㅏㄷㅇㅣ	M A D I
ㄷㅚㅇㅓ	D OE EO
ㅆㅓ	SS EO
ㄷㅡㄷㄱㅣㅇㅔㅅㅓㅂㅜㅌㅓ	D EU t GG I E S EO B U Th EO
ㅅㅐ	S E
ㄷㅡㄹㅇㅡㅁㅕㄴ	D EU R EU M iEO N
ㅅㅗㄹㅣ	S O R I
ㄹㅏㅁㅕㄴ	R A M iEO N
ㅁㅜㅇㅓㅅㅇㅣㄴㅈㅣ	M U EO S I N J I
ㅁㅏㄶㄱㅗ	M A N Kh O
ㄷㅙㅇㅛ	D OE iO
ㅁㅏㅅㅇㅣㅆㄷㅏ	M A S I t DD A
ㅇㅏㅊㅣㅁㅇㅢ	A CHh I M euI
ㅁㅓㄱㅇㅡㄹㄱㅓㄹ	M EO G EU L G EO R
ㅂㅐㄱㅗㅍㅏㅇㅛ	B E G O Ph A iO
ㄷㅗㄴㅇㅡㄴ	D O N EU N
ㅂㅘㅆㄴㅡㄴㄷㅔ	B oA N N EU N D E
ㄷㅜㅂㅜ	D U B U
ㅂㅜㄹㅇㅡㄹ	B U R EU L
ㄷㅡㄷㄱㅣㅇㅘ	D EU t GG I oA
ㅁㅐㄱㄹㅏㄱ	M E NG N A k
ㅇㅓㄹㄱㅜㄹ	EO L G U L
ㅁㅗㅅㅎㅏㅈㅣㅁㅏㄴ	M O Th A J I M A N
ㅁㅕㅊ	M iEO t
ㅁㅜㄹㅇㅣ	M U R I
ㅅㅣㄴㅐㅅㅁㅜㄹ	S I N E N M U L
ㄷㅡㄹㅁㅕㄴ	D EU L M iEO N
ㅅㅣㅍㅅㅡㅂㄴㅣㄷㅏ	S I p SS EU M N I D A
ㅅㅏㄹㅏㅇㅎㅏㄴㄷㅏ	S A R A NG H A N D A
ㄸㅏㄹㅏㅅㅓ	D A R A S EO
ㅇㅕㅁㅈㅡㅇ	iEO M J EU NG
ㅁㅏㄱ	M A k
ㅇㅗㅈㅓㄴ	O J EO N
ㅁㅏㄹㅆㅡㅁㅎㅐ	M A L SS EU M H E
ㅇㅝㄴㅁㅏㄴ	uEO N M A N
ㅁㅓㄹㅣㅋㅏㄹㅏㄱㅇㅡㄹ	M EO R I Kh A R A G EU R
ㅇㅢㅅㅏㅅㅗㅌㅗㅇ	euI S A S O Th O NG
ㅁㅗㄷㅜ	M O D U
ㅅㅐㅇㄱㅣㄴ	S E NG G I N
ㅁㅜㄹㅡㅍ	M U R EU p
ㅇㅓㄷㅣㅇㅔㅅㅓ	EO D I E S EO
ㅁㅣㅇㅏㄴ	M I A N
ㅁㅜㄴㅢ	M U N euI
ㄸㅟㅇㅓㅅㅓ	DD UI EO S EO
ㅁㅜㄹㅎㅏㄱㅗ	M U R H A G O
ㅁㅏㄱㅎㅕ	M A Kh iEO
ㅂㅏㄹㅏㅁ	B A R A M
ㅇㅣㅇㅢ	I euI
ㅂㅏㄹㄷㅡㅇ	B A L D EU NG
ㅁㅣㄹㅣ	M I R I
ㅁㅝㄹㅏㄱㅗ	M uEO R A G O
ㅇㅕㄱㅣ	iEO G I
ㄷㅡㄷㄱㅣㄱㅏ	D EU t GG I G A
ㅇㅗ	O
ㄷㅡㄹㅇㅓㅇㅛ	D EU R EO iO
ㅅㅜㅇㅓㅂㅇㅡㄴ	S U EO B EU N
ㅂㅕㄱㅇㅔ	B iEO G E
ㅅㅣㄱㄷㅏㅇㅇㅔ	S I k DD A NG E
ㅂㅗㄹㄱㅔㅇㅛ	B O L G E iO
ㅇㅏㄴㅣㅇㅑ	A N I iA
ㅂㅜㅂㅜ	B U B U
ㅇㅏㄶㅇㅡㅅㅕㅆㅇㅓㅇㅛ	A N EU S iEO SS EO iO
ㅇㅏㅊㅣㅁㅇㅡㄹ	A CHh I M EU L
ㅇㅚㄱㅜㄱ	OE G U k
ㅇㅓㄷㅣㄹㅗ	EO D I R O
ㅇㅡㄴㅎㅐㅇㅇㅣ	EU N E NG I
ㅇㅕㄱㅝㄴ	iEO G uEO N
ㅂㅏㅋㅟ	B A Kh UI
ㅂㅏㄹㅏㅁㅈㅣㄱㅎㅏㅈㅣ	B A R A M J I Kh A J I
ㅂㅜㄹㅂㅜㅌㅓ	B U L B U Th EO
ㅁㅏㄹㅇㅡㄹ	M A R EU L
